location,rating,ground_truth,model_prediction,text,final_text
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,A good and representative ferry port,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,2 stars,NEGATIF,NETRAL,Quite dissapointed ! It was extremely hot and the ferry to Singapore was delayed and delayed and delayed and the air conditioner was not working in the departure area and it was very frustrating.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Sekupang Ferry Terminal is one of the main ports in Batam City, serving domestic and international sea transportation. Located in the Sekupang area, the port is divided into two sections: the domestic terminal and the international terminal. The domestic terminal serves inter-island routes to Karimun, Tanjung Balai, Dumai, and other islands in the Riau region, while the international terminal serves fast routes to Singapore and Malaysia, with a travel time of approximately 45 minutes.

The facilities at Sekupang Ferry Terminal are comprehensive and modern. It features air-conditioned waiting rooms, well-organized ticket counters, a dining area and cafe, money changers, ATMs, and a prayer room. Land transportation services such as official taxis and ample parking are also available. The international terminal even features a business lounge, free Wi-Fi, and a fast and efficient immigration system, making it a popular alternative for passengers looking to avoid the crowds at Batam Center Port.

Beyond its primary function as a passenger port, Sekupang Ferry Terminal also serves as a focal point for Batam for international tourists. With its modern, clean appearance and increasingly professional service, this terminal plays a vital role in supporting the tourism sector and public mobility. Its strategic location near residential areas such as Tiban, Batu Aji, and Tanjung Riau also makes it a preferred port for both locals and travelers.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Organised, clean, F&B available",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"The new port is now operational. It's spacious, comfortable, and cool. The waiting area is larger and directly faces the sea.",baru operasi luas nyaman sejuk luas langsung hadap
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"The facilities are excellent, and the passengers are well-organized and well-organized when boarding the ship. The space is spacious and comfortable. Parking is available, and the views are also beautiful.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Nice port n terminal, for go to another island....",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Hello, is Sekupang International Port still open? How can I book a ferry ticket?",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,The port is in the process of being developed to be more systematic in terms of parking and domestic passenger registration.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Trans Batam is a cheap transportation from Sekupang ferry port to Batam city center.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"A place to see fish in a big pond, haha",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Very comfortable, and clean",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,More advanced,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Average ferry terminal. Clean. Smooth entry. There are two convenience stores located on ground floor. Second floor has food and cake lapis for sale.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,It's nice,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"It's quite clean and tidy... For those arriving for the first time, please always pay attention to the boat departure time. Don't stray too far from the waiting room.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Good harbor, lots of ships, clean.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,All the officers are so friendly. We came in on weekday so not very crowded. There is available grab pick point.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Good place for taking ferry ⛴ to travel,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"One of the largest ports in Batam. It provides access to small islands around the Riau Islands Province and Riau Province. It's clean and comfortable. Complete facilities include a prayer room, restrooms, elevators, escalators, and a spacious waiting area. There's also a souvenir shop. Overall, it's great. Hopefully, it gets better. 👍",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,The real harbour. Pokmen is the best,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,domestic and international ferry terminals,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Domestic port in Batam.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Clean port,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Comfortable,nyaman
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Ok,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,OK,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,Taxy nya bar bar,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Very good,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Complete and comfortable,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Modern & comfortable international ferry terminal. Good eatery at 2nd floor, spacious and lots of sitting",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Stopping by on the way to Seraya Island,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,There are special domestic destinations and small islands,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"The harbor is clean, the view is quite pampering,",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Comfortable, clean",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Almost arriving at Sekupang Batam ferry port, passengers can't wait to get off and want to get home immediately.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"It's starting to feel more comfortable, with no one shouting to offer tickets anymore. But during boarding, there's still shouting, not from an official officer calling over the speaker.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Can we do the visa on arrival in the port when we came from singapour? Can we go to rempang from the port?,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,loved it place,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,"Here, if you want to take an online taxi, you have to go outside.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,The terminal is good. Service is fast. There's an elevator to take luggage to the second floor. The fast boats often don't stick to schedules and are often late. But why are taxis in Batam restricted? Bluebirds aren't allowed in. And many of the taxis available there are inadequate.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Clean and great place,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"One of the ports to go to Tanjung Balai Karimun, with a clean place and comfortable atmosphere",tuju balai karimun bersih suasana nyaman
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Subhanallah, things are starting to get better",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"I just wondering this kind of ferry terminal has different from Batam Centre, looks modern design with simple but eyes catching, the ceiling looks good, not crowded, more convenient...",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Sekupang Batam Fast Ferry Port, Riau Islands.",fast riau islands
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"It's pretty good. You can also have lunch here, and there's a TransBatam bus right out front (4,000 Rupiah for general passengers, 2,500 Rupiah for students), so you don't need to take a taxi. Sekupang usually operates on boats to Tanjung Pinang, Karimun, and Malaysia.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"A nice port. It has baggage detectors and a spacious waiting area. Tickets for various ships are available. However, cleanliness and landscaping need attention.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Very convenient port and friendly staff.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Many ships head to Riau and the remote islands of the Riau Islands.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Well our hotel is near Sekupang so it's good,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Sekupang ferry terminal,
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Neat, clean",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,It's better to go to Sungai Guntung via here,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Now it's comfortable,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"I was only here for a short time, the place is quite nice.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Quite comfortable,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Fast Process, No Hassle",proses cepat ribet
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,They are 2 Ferry terminal in sekupang. The first one is for domestic ferry. For the parking price is 2.000 rupiah / car. The ferry service route is for some island in riau island province and also riau province. The second one is for international ferry. The ferry service route is to singapore which the price now on may 2023 is arround 700.000 rupiahs or 70Sgd,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Good, there is a lift, there is also a food street like CFC etc.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Very good!,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Area clean,daerah bersih
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,The route to the port is easy to find,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Luxurious,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,"We mistakenly queued at the visa queue instead of the regular queue. It was not like we meant to do it, as it ended up taking MUCH longer than the normal queue despite being shorter. The customs officer still decided to yell at us for this mistake, which was honestly shocking and the worst I have been treated by any customs officer across ferry terminals and airports around the world.

This happened at the visa line on 15 June 2024, between 1 to 3pm. This really tarnished our whole trip and impression of the city.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Mantaap,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Transportation from the port is very easy.
I continued to the Jodoh Center area using the City Bus, which cost 4,500 rupiah. It's cheap, the service is good, and it arrived quickly.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Clean and comfortable,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Better than before,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,"The arrivals terminal reeked of cigarette smoke.
It seems the officers weren't following the strictest rules regarding the No Smoking Area (KTR) in public areas like the port.
It's a shame that passengers like me are victims of the selfishness of irresponsible people.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,It's hard to order a taxi online,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Peaceful ferry terminal without the crowd of batam centre.

Repeat visit, love the peacefulness here. Choose this if you go during peak holiday periods or weekends holidays.

Of course, you would sacrifice on the number of shops here.

Designated Grab spot. No gojek pick up point.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Quite organized and neat,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Excellent,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Sorry, I want to ask, is there a ship departure to Tanjung Priuk from Sekupang?",maaf tanya berangkat priuk
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"To the Head of the Sekupang Batam Ferry Port, please do not give to sellers of medicines or facial whiteners. We are very disturbed by the pressure to buy. Thank you.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"From the Skeupnag ferry terminal, you can take a ferry to Singapore. However, it's quite a distance from downtown Batam. The only transportation option to get here or from here is Trans Batam, which offers several routes, but the one I've used is the one to Batam Center.
The downside here is that we're from Singapore, a well-organized country with no touts, so we're free to choose any mode of transportation. When we arrived here, many people offered taxis at unreasonable prices. Luckily, Trans Batam now offers a fare of only 4,000 Rupiah.",skeupnag jarak jauh pusat satu pilih transportasi trans tawar rute guna pusat kurang negara organisir baik calo bebas pilih moda transportasi tiba tawar harga akal untung trans tawar tarif rupiah
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"The port has now been tidied up. It's quite clean, although some areas are still undergoing repairs and construction. The port is no longer what it was two years ago, when there were numerous ticket vendors and a chaotic scene. Hopefully, in the future, service, visitor safety, and clean and comfortable public facilities will improve.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Even if it's bad, it's still used, because this port is the only port that has a route to Dumai/Bengkalis.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,The sea is beautiful,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Great, okay?",bagus oke
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"The ferry terminal is not chaotic, clean and relatively quiet compared to other ferry terminals in Batam.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Kwkwkwkwkw,kwkwkwkwkw
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Easy way to go to Singapore. Less crowded that Batam Center Ferry terminal.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"A track for sailing, easy to navigate...
Ready to risk death, but still have to pay...",jalur layar mudah navigasi siap hadap risiko mati tetap bayar
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Been here 3 years ago, really improved alot in terms of the building layout and carpark.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,"Nothing much
Just a harbour",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Joss,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Nice and comfortable,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Comfortable and convenient,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,"It's quite good for a port, but on average, ticket sales are still manual and outdated compared to other ports that are already digital and are like a market with ticket counters shouting at buyers.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,"Toilet is dirty and it smells, air conditioner doesn't feel anything,this is the worse terminal ever",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"It's very comfortable, my destination is Tanjung Balai Karimun",s comfortable destination balai karimun
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,"Expensive ferry tickets and manual bookings seem to be keeping up with the current online era. We're very complacent in our comfort zone. Hopefully, in the future, we can make a breakthrough to simplify online ticket booking. For transportation from this location, you still have to book a conventional taxi. Online taxis can't pick up passengers yet due to their status as base taxis, which still charge expensive fares. Again, I'm just saying, hopefully, taxis will improve and keep up with the times.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Domestic and international ferry terminals. The location is quite far from the city center. It's very busy. During the pandemic, antigen tests have been available on-site, and results are quite fast. Ticket counters are on the second floor. There are also food stalls like KFC, Rotio, and others. The international terminal is very well-organized, from the parking counters to the parking area, and even the terminal itself.",jauh pusat sibuk lama pandemi tes antigen sedia hasil cepat dapat warung makan kfc rotio lain tata baik mulai parkir hingga parkir bahkan sendiri
Sekupang Ferry Terminal,2 stars,NEGATIF,NETRAL,Congested,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Very clean and not so crowded,bersih terlalu ramai
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Unforgettable experience.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Good service,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Good and clean,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Although it is located far from Batam city center, the terminal is quiet and the facilities are clean and well-maintained.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"More neat, clean and comfortable",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Batam Ferry Terminal, Indonesia. Service between Singapore and Indonesia.",layan
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Looks quite uptodate after renovation,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"The most convenient international ferry terminal in batam, not so crowded quiet, clean, sufficient parking lot, some coffee and mini shops availble too. If you often goes to singapore or batam vice versa this is should be your first terminal choice.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Clean, tidy and safe...",bersih rapi aman
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,The best domestic port in Kepri and Riau,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,its ok but they dont allow grab to take passanger here,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Rapidly developing, with many changes taking place. Continuously improving services and facilities. Excellent ferry terminal.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Sekupang Batam to Singapore,
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Jooss,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Sekupang Port departs for Guntung there are several ships: Rahmat Jaya, Mega Fajar, Marina and Carorina.",departs guntung several ships rahmat jaya mega fajar marina carorina
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Jooos,jooos
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Nice to see a nice ship here..,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Serving ships to various routes at more affordable prices because there are many ship choices,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Clean and easy to order ticket,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Domestic and international port passenger departure and disembarkation points,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Beautiful,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Great Ferry Terminal for domestic or international enroutes at kepulauan riau,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Okay,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,nice and comfortable,bagus nyaman
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"If you compare immigration in Batam and Singapore.. I'm proud to be Indonesian.. Immigration there is like we are not considered equal.. I'm sad.. It's just immigration that makes me traumatized by Singapore. Moreover, this is my first trip, right?.. I keep remembering it... Thank you Sekupang immigration officers",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Clean and tidy,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Good and organized,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,good,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"The ferry port connects Batam Island with Dumai, Tj Balai Karimun Island, and other destinations.

The waiting area is quite comfortable and the dock is sturdy.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,The taxi doesn't use a meter,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"The place is clean, the immigration officers are friendly, and I often take the Majestic Fast Ferry. The ATM is broken here, but taxi drivers from here will let you stop at the ATM. The drivers are also friendly. It's also safe to take a taxi from the terminal. ❤️",bersih tugas imigrasi ramah cepat megah atm sini rusak supir biar henti atm supirnya ramah aman
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Cool,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"Good domestic and international, but if you are looking for Gojek or Grab, it is difficult, you have to wait for the busway.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,"This happened yesterday when I was returning from Batam to Selat Panjang via Sekupang Port.

Upon arriving at the port, I went to the counter clearly marked ""Dumai Line"" to purchase a ticket. After paying and receiving my ticket, I was surprised to find that the ticket I was given actually said ""Batam Jet.""

I then asked the clerk, ""Why Batam Jet? I want to take the Dumai Line.""

The clerk didn't answer my question and simply said, ""Big ship."" I reiterated that I wanted a Dumai Line ticket, but the clerk remained silent. Then another clerk told me that the money couldn't be transferred back because the payment had already been made. Fortunately, my money was refunded in cash.

After that, I bought a ticket at the actual Dumai Line counter, which was right next to it, and got the correct ticket.

What made me even more upset was that my parents had experienced a similar experience. Because they weren't familiar with the writing, they only realized they hadn't purchased a Dumai Line ticket until they were about to board the ship and were told by the clerk.

I actually didn't intend to post this. However, because my parents also experienced the same incident, I feel the need to raise this complaint.

I ask the Sekupang Port Authority to follow up and monitor practices like this to prevent further confusion or harm to passengers, especially parents and passengers who may not understand the differences between ticket counters or the names of ship operators.

Thank you.",jadi kemarin pulang selat panjang lalu sampa tanda jelas jalur dumai beli bayar terima kejut temu beri benar kata jet kemudian tanya tugas jet jalur dumai tugas jawab tanya kata besar tegas jalur dumai tugas tetap diam kemudian tugas beri tahu transfer balik bayar laku untung kembali tunai beli dumai line benar ada tepat belah dapat buat makin kesal tua alami alam rupa familiar tulis baru sadar beli jalur dumai hingga hendak naik beritahu tugas benar maksud memposting tua alami jadi sama rasa sampai keluh minta otoritas menindaklanjuti pantau praktik cegah bingung rugi lanjut utama tua paham beda nama operator terima
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"The terminal is quite spacious and comfortable, with a large waiting room. Food and drinks are available in the waiting room. There are also charging ports. The ticket sales system is also organized and orderly. Taxis are also available. Ojol (motorcycle taxi) drivers are not allowed to enter, but dropping off passengers is allowed. Honestly, it was cheaper to take an ojol yesterday from Nagoya, but I only occasionally share my fortune with the taxi driver.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"The port is very clean... complete facilities, there is a prayer room & the toilets are very clean...",bersih fasilitas lengkap mushola toilet bersih
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,it's the best international ferry terminal in Batam. Very spacious and clean. And most importantly not as crowded as other ferry terminals.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Domestic ports are getting better and more organized,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"If you want to go to Dumai or Buton, you have to go through here. The ticket price for Batam - Dumai is IDR 390,000 as of November 1, 2019.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Very gooooooood,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"A port that serves domestic and international. (spore), at that time the domestic port of Sekupang was very busy with passengers serving the Kuala Tungkal route, even Palembang, but maybe now it has stopped because there are alternative travel options by air or by Roro, but inter-island ferries are still running, both to Tj Balai, Selat Panjang, Bengkalis Dumai and several other islands.",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"It's currently under construction, so it feels even cooler.",bangun asa sejuk
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Batam Inter-Island Ferry Passenger Port,,,,, With Increasingly Improved Facilities",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,"porter 50 thousand, the rest top",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,clean.. spacious,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Bon voyage Sekupang International Ferry Terminal place covenant drop off back home toTiban were I stay..if your staycation at KTM Resort do drop at Sekupang International Ferry Terminal just nearby or just beside the terminal there is a domestic ferry terminal to Balakeng Padang or any island in Batam Kepulauan Riau,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Domestic Port Connecting Batam-Riau Islands-Riau

The facilities provided are very adequate and complete
+ Clean
+ Transparent
+ Comfortable
+ Safe",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,Many are smooth,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,4 stars,POSITIF,NETRAL,"Very nice food and snacks available, inside have small shopping centre",error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Thank you to the management. Buying tickets is now easier via Livin' Mandiri.,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,1 star,NEGATIF,NETRAL,It's hard to order an online motorbike taxi,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,There are already grab points,error 500 server error 1500 that s error there error please try later that s know
Sekupang Ferry Terminal,5 stars,POSITIF,NETRAL,Good and nice terminal,error 500 server error 1500 that s error there error please try later that s know
